,True Values,Content
10,fake,nagkaroon ng komosyon sa pagitan ng iba t ibang mga grupo ng militanteng kabataan at kapulisan sa isinagawang kilos protesta laban sa tanggapan ng commission on higher education ched sa quezon city iprinotesta ng mga kabataan ang pagtaas ng matrikula sa iba t ibang eskuwelahan maging ang pagkakatanggal sa kolehiyo ng subject na filipino at panitikan at posibleng pagbalik ng mandatory rotc nakuhanan naman ng video ang aktwal na komosyon sa ched kung saan pilit na pinapasama ng mga pulis ang mga kabataang nangbato ng pintura nagsimula ang komosyon nang may mga raliyistang nagbato ng mga paint bomb sa gate ng tanggapan dahilan para pigilan sila ng mga pulis at arestuhin maririnig din sa video na umalma ang mga kasamahan ng mga kabataan sa ginawa ng mga pulis bakit n yo sinasaktan sigaw ng isang aktibista paliwanag ng pulis na hindi na umano tama ang ginagawa ng mga kabataan kung kaya kailangan nilang pigilan ang pag eeskandalo ng mga ito hindi sinasaktan kailangan lang kuhanin kasi mali na yan saad ng pulis nagkaroon ng pagpalag sa grupo ng mga kabataan sa pagkaaaresto ng tatlo nilang mga miyembro 
11,real,no one knows what exactly was said to adam but it was something like you ve had enough it s time to stop drinking sabi ng isang insider sa daily mail noong biyernes whatever it was the next thing the other man has blood over his face and a cut eyebrow it s ironic because they work together and we all thought they were friends sinikap ni mark flanagan namamahala sa royal kitchens na sagipin si steele sa pagkakasibak ngunit nabigo ito dagdag ng insider mark wanted to keep him because the tragedy is adam is a very good chef and popular with the royals 
12,real,robredo apologizes for her wi fi issues i apologize for the bad connectivity during the forum the fault is all mine via updates 
13,fake,a facebook post erroneously claims that ferdinand marcos sr is the youngest politician who won as mayor congressman governor and senator 
14,real,k pop stars hyuna and dawn are engaged 
15,real,looks like the girls of mano po legacy the family fortune are having a lot of fun 
16,real,a two year old child from mangatarem pangasinan accidentally swallowed a peso coin which then got stuck in his throat 
17,fake,base sa ilang desisyon ng korte suprema hindi napatunayan ng mga marcos na mula sa mga lehitimong source at hindi nakaw ang kanilang yaman 
18,fake,viral ngayon ang serye ng mga videos na ibinahagi ng kababayan natin na si warfe rabago sa mga videos makikita sina liberal party senator bam aquino at vice president legal counsel attorney romulo macalintal na naghahantay laguindingan airport mapapanood na tila hindi sila napapansin ng mga tao o baka hindi talaga pinapansin kayo na po bahalang humusga certified yellow senator bam epal aquino and atty romulo macalintal the legal council of vp at laguindingan airport parang dinaanan ng semana santa grabe nilalangaw yung dalawang yellow candidate sabi ni rabago sa caption sa kanyang post habang isinusulat ang blog post na ito ay umabot na sa mahigit ang nagbahagi ng mga videos at umani na rin ng lagpas komento mula sa mga kababayan natin ito po ang ilan sa mga komento ng mga netizens hahaha kawawa hindi man lang pinansin ng mga tao ang dalawang yellow nato sabi ni r robles nakakahiya naman senador wala man lang pumapansin sabi ni n sypongco kawawa naman tong mga to siguro ramdam na nilang sinusuka na talaga sila ng sambayanang pilipino tsk asa pa kayong mananalo kayo never sabi ni m aoi kung si pres duterte yan nagka gulo na lahat gusto magpa picture sabi ni j david wala man lang pumansin pano pa mananalong senator yan sabi ni g belardo wala man lang pumansin kay bam hahaha parang si trililing lang wapaki ang mga tao siguro yung iba dyan gustong gusto s n ang k g na yan sabi ni v siron source warfe rabago 
19,real,non tax revenues only constitutes of total revenues karamihan talaga ay tax revenues one way to boost revenues is pasiglahin talaga ang ekonomiya live 
20,real,sinabi ng isang opisyal ng pvf na nagpadala ng kanyang pagsuporta si fivb president dr ary s graca ng brazil sa pagsasagawa ng demokratikong proseso upang tuluyan nang mareresolbahan ang kaguluhan sa liderato ng asosasyon sa bansa una nang nagpadala ang fivb noong nobyembre ng isang attestation na kinikilala ang pvf bilang lehitimong miyembro bagamat patuloy itong binabalewala ng poc na bumuo ng sariling asosasyon na kinilala bilang larong balibol sa pilipinas lbp we hereby confirm that the pvf has been affiliated to the fivb since and is also a member of the asian volleyball confederation avc this federation is in good standing with the fivb pays its affiliation fees and attends the world congresses sinabi sa attestation ng fivb the fivb recognizes this federation as the legitimate and exclusive authority under the leadership of its president wm karl geoffrey chan ii and its secretary general dr rustico camangian to govern volleyball and beach volleyball in the philippines ayon pa sa sulat gayunman tuluyan nang tinuldukan ng poc sa isinagawang general assembly noong miyerkules ang pagkilala sa pvf na matagal nang hindi miyembro ng sports governing body sa bansa sinabi ni poc secretary general steve hontiveros na napagtanto sa executive board meeting na kinakailangan uli ng pvf na magre apply upang makunsidera ang pagiging miyembro sa asosasyon nabuo ang desisyon ng poc executive board matapos na maberipika na mayroong dalawang magkahiwalay na grupo na bumibitbit sa pangalan ng pvf na binuo sa magkahiwalay na taon sa listahan ng securities and exchange commission ang una ay noong at ang ikalawa ay noong ipinaliwanag ni hontiveros na ang pvf na siyang kinikilala ng poc ay lubhang kaiba mula sa pvf na nakasaad na sina chan at camangian ang presidente at secretary general idinagdag ni hontiveros na para maisaayos ng pvf ang kaguluhan at upang muling kilalanin ng poc ay muli silang mag apply para sa membership they have to apply again and go through the process of getting recognition from the international federation pahayag ni hontiveros huling nagtalaga at inaprubahan ng pamunuan ng pvf sa isinagawang board of directors meeting noong mayo sa vito cruz manila ang liderato matapos na magbitiw sa posisyon ang dating pangulo na si gener dungo pinalitan nila si dungo sa pagluklok kay chan bilang presidente habang ang chairman ay si pedro mendoza si mendoza ay namayapa noong nakaraang taon at pinalitan naman ni edgardo cantada pumalit sa puwesto ni chan si artagnan yambao bilang bise presidente ang iba pang opisyales ay sina victor abalos commissioner roger banzuela treasurer minerva dulce pante auditor nestor bello referees chairman yul benosa rules chairman at adrian paolo laurel pro 
21,fake,base sa sagot sa isang freedom of information request noong november may naka pending pang na mga kaso laban sa mga marcos at kanilang cronies 
22,fake,an fb post by senate bet glenn chong expressing gratitude for topping a yahoo poll needs context the online poll is informal open to whoever wishes to answer it s not scientific read 
23,real,watch live pentagon briefing with press secretary john f kirby 
24,real,five presidential bets bared their platforms in the event they win in the may elections during the first few minutes of the kbp presidential candidates forum on friday 
25,real,gabi gabi ay gising na gising tuloy ang viewers dahil sa mapangahas at mabilis na daloy ng kuwento nito na tungkol sa buhay ng magkapatid na sina gael jericho at carlos paulo na nagkalayo dahil sa malagim na trahedya at muling pinag ugnay ngayon ng pagkabighani nila sa kaakit akit na club dancer na si mia maja pero hindi lang ang magkapatid ang nabighani sa alindog ni mia kundi maging ang televiewers katunayan ng pagkahumaling ng mga manonood sa bridges of love ang resulta ng viewership survey ng kantar media na humataw ito sa national tv ratings mula nang mag pilot noong nakaraang lunes tinalo ng serye nina jericho paulo at maja sa national tv ratings na at mula lunes hanggang huwebes ang second chances na katapat nito sa na nakakuha lang ng at ayon sa pagkakasunod tiniyak ng kakilala naming sa star creatives production unit na lalong tututok ang viewers sa love triangle sa bridges of love dahil lalong titindi ang pagtingin nina gael at carlos kay mia susubukin daw ng pagmamahal ang minsan nang nasirang relasyon ng magkapatid 
26,fake,dati nang itinanggi ni vp leni robredo ang akusasyong may karelasyon siya na patuloy namang nire recycle ng mga troll 
27,fake,it s about time we stop using smartmatic tila napuno na si senador tito sotto sa kapalpakan at perwisyong dulot ng smartmatic supplier ng vote counting machines vcms na ginamit sa tatlong nakaraang automated elections ng pilipinas magugunitang daan daang vcms ang naiulat na nasira sa araw mismo ng eleksyon isa sa mga nabiktima ng sirang vcms ay si dating vice president jejomar binay umabot din daw sa sd cards ang nagkaproblema sa araw ng halalan sa isang text message pinahayag ni senador koko pimentel ang posibilidad na magpatawag ng senate investigation dahil sa aberya nangyari sa pagpo proseso ng mga boto sa transparency server glitches are enough to call for a congressional investigation why are we still having all these glitches cannot comelec commission on elections anticipate them sabi ni koko sinisi naman ng comelec ang edad ng mga vcm kaya nagka problema ito sa eleksyon ngayon taon ayon sa ulat ng politiko nagbayad pa daw ang comelec ng p billion sa smartmatic noong para bilhin ang mga na vcms source gma news politiko philstar 
28,fake,nangigil sa galit ang pro government blogger na si maharlika sa mga naging pahayag ni philippine national police chief oscar albayalde sa iang panayam sa radyo hindi nagustuhan ni maharlika ang tila pagkuwestiyon ni albayalde sa koneksyon ni atty glenn chong kay richard santillan matatandaang disyembre noong nakaraang taon ay napaslang si santillan sa kamay ng mga pulis rizal na nasa ilalim ng pamumuno ni calabarzon police director ted caranza si santillan ay aide bodyguard ni atty chong si chong naman ay ang whistleblower sa dayaan umano noong elections ayon kay maharlika tila takot daw si albayalde kay caranza o baka may alam si caranza na baho ni albayalde matatandaang ilang ulit ng hiningi ni atty chong ang ilang doumentong pangkapulisan kay carranza ukol sa surveillance umano sa kay santillan pero hanggang ngayon ay hindi pa naibibigay kay atty chong dahil sa pagmamatigas ni carranza na magbigay ng dokumento nagsampa na ng kaso ang kampo ni atty chong sa ombudsman panoorin ang panayam kay gen albayalde lumaktaw sa ika minuto para mapakinggan agad ang bahagi ng panayam kay chief pnp kayo na po ang bahalang humusga sa pahayag ni gen albayalde basahin ang reaksyon ng ilan kababayan natin sa mga sinabi ni maharlika laban kay albayalde make a petition na magresign silang sa pagiging palpak nilang pulis sa sinabing iyan ni albayalde pinapaboran at pinoprotektahan niya ang kumag na fraternity classmate and friend niyang pulis na mamamatay tao well albayalde the way you talk and handle the situations i think the punishment to those criminals will be the same to what they did to red santillan sir albayalde is this what you wanted to happen dukutin itorture patayin at saka kunwari tadtarin ng bala ang isang pulis na parang nanlaban ang pinatay na sooner or later it will be civil war against criminal police kung hinde pa rin matuldukan at mabigyan ng hustisya si red santillan sabi ni lorenzo maryjane albayalde sir anong pinag sasabe mo na hindi related si attorney glenn chong si richard santillan kung may utak ka ba naman albayalde si richard santillan ay tinuturing na kapatid na si attorney glenn kasi nga naging bodyguard nya for yrs hanggat namatay si richard santillan at nag serbisyo sa kanya ng tapat kay attorney glenn chong kung pinapanood mo ba naman itong mga sinasabe ni attorney kung may bayag ka albayalde dapat nakikipag communicate ka kay attorney kung hindi mo pinagtatakpan si carranza kasi nga may tinatago kayo kaya ganun kayo mag salita nag days na wala pa kayong ibinibigay na mga dokumento at ebidensya na hinihingi ni attorney anong klasi kang chief nangangahulugan may tinatago at nagsisinungaling kayo kung anu ano nalang ang mga pinagsasabe ninyo aba ay gumising ka albayalde hindi na nakakatuwa to kailangan ipakita mo na may bayag ka hindi puro daldal nakakagalit na talaga nadadamay tuloy ang mga ibang matitinong kapulisan dahil ikaw kayo mismo ang gumawa ng kapalpakan kayo mismo namumuno ay iyong pinagtatakpan dahil may tinatago kayo dapat talaga linisin mo itong mga kapulisan na gumagawang katarantaduhan nakakapikon na po albayalde karamihan sa ating mga mamayan ay hindi na masaya sabi ni alita hughes panoorin ang sinasabing panayam kay gen albayalde lumaktaw po sa ika minuto para mapakinggan agad ang bahagi ng interview kay chief pnp albayalde source maharlika dzrj 
29,real,q how will you solve healthcare problems in rural areas robredo says there should be a tertiary hospital per region province so patients need not go to manila barangay health centers should have at least nurse basic equipment via 
30,fake,the labor force survey estimated about million unemployed filipinos contrary to senate hopeful ernesto arellano s claim read more 
31,real,three of the house republicans who voted to impeach former president trump have tapped out early to announce they are not seeking reelection in but the remaining seven appear to be running strong races 
32,fake,hindi totoo na walang kontraktwalisasyon noong pangulo si ferdinand marcos sr 
33,real,icymi engaging articles that might interest you see our entertainment page jan issue available on inquirer plus get here for more 
34,fake,from calling the mandate of the a duplication of efforts vice president now says she is all for the agency s mandate and functions read the story here 
35,fake,peke at minanipula ang larawan sa social media posts tungkol sa pag endorso diumano ng jollibee foods corporation kay bongbong marcos 
36,real,robredo our team tried hard to convince me to cancel all other engagements pero pinilit ko pa rin hanapan ng paraan to fulfill all our commitments dahil alam kong naghihintay yung communities para maihatid yung tulong na pabahay bago magstart ang campaign period 
37,real,robredo says reclamation plans typically go through very shallow consultations para sa akin mahalaga talaga iyong mekanismo na pinapakinggan iyong experts iyong people s councils na from day meron nang platform para iyong boses nila napapakinggan via 
38,real,said that his preparation for the forum worked well for him but he failed in some parts such as issues on campaign funds via live 
39,real,the beijing olympics which officially opens on friday will be streamlined safe and splendid chinese president xi jinping said on thursday as the head of the ioc decried boycott ghosts rearing their ugly heads again over human rights concerns 
40,real,niyanig ng magnitude lindol ang eastern samar kaninang umaga ayon sa philippine institute of volcanology and seismology naramdaman ang lindol alas ng umaga ang epicenter nito ay kilometro sa silangan ng hernani at may lalim na anim na kilometro nagresulta ito sa intensity iv na paggalaw sa hernani intensity iii naman sa tacloban city palo leyte general macarthur llorente sa eastern samar at borongan city 
41,real,said that vp leni did not elaborate on details on her executive order on full disclosure that she will sign if she is elected president via live 
42,fake,nilinaw ni mayor anthony reyes na si vp leni robredo at hindi si bongbong marcos ang sinusuportahan niya sa elections 
43,fake,senate bet glenn chong s claims that china posted double digit growth every year and extricated more than million chinese from poverty within years are wrong read more 
44,real,robredo kahit wala pang batas puwede akong gumawa ng executive order para meron nang ganoon na demand for all gov t offices via 
45,fake,senatorial candidate agnes escudero wrongly claimed that the country s economy is dependent on gold reserves 
46,fake,the quote card is fake local multimedia news platform global daily mirror whose logo website url and contact details can be seen in the circulating post denied publishing the graphic read the our fact check here 
47,fake,nagpahiram si ferdinand marcos sr ng ginto sa mahigit na bansa para makapagtayo ng kani kanilang central banks 
48,fake,hindi totoo ang pahayag ng fb post na humihingi pa lang ng donations si vp leni ay nakahanda na ang mga relief goods ng supporters ni bongbong marcos 
49,real,that they re the building blocks of the big spectator sports we have today 
50,real,a year after the singer came to represent country music s race problem wallen has a sold out tour a radio hit and headlining gigs at summer festivals 
51,fake,ayon sa office of the vice president nakapagpatayo sila ng mga shelter at classroom sa marawi namigay rin daw sila ng mga ppe testing kits at medical supplies ngayong pandemya 
52,fake,a fake quote card made it look like pope francis expressed support for bid for the presidency find out which media organization s quote card was doctored to make this hoax in this fact check 
53,fake,hindi totoo ang pahayag ni jay sonza sa kaniyang facebook page na hindi ligtas ang mga timbang ipinamimigay ng angat buhay project ng office of the vice president 
54,fake,umaani ngayon ng batikos ang abs cbn host na si robi domingo dahil sa naging social media post nito noong mga nakaraang araw ayon kasi sa twitter post ni domingo hindi daw ibinebenta ang pilipinas ipinost ni domingo ang kanyang tweet habang bumibisita si chinese president xi jinping sa bansa sa pagbisita ni president xi matatandaang lumagda ng na kasunduan ang pilipinas at china hindi naman nagustuhan ng ilang netizens ang mga pinagsasabi ni domingo ito po ang ilan sa kanilang reaksyon source robi domingo twitter 
55,real,guns are at the center of the debate as the nation grapples with homicides that spiked nationally in 
56,fake,nahaharap sa kasong rape ang isang anyos na lalaki na inaresto matapos na nangmolestiya sa isang anyos na kapitbahay nito sa pasay city ayon kay police col bernard yang ng pasay pnp nakita ng kapatid ng anyos na babae na lumabas ang bata sa common cr ng kanilang gusali sa bgy na sinundan ng suspek nang tinanong ng mga kapamilya ang bata inamin ng bata na pinahawak ng lalaki sa kaniya ang ari nito sinamahan naman ng atworidad ang ama ng bata para hulihin ang suspek na tagahugas ng pinggan sa isang karinderya sabi ng suspek inaantok at naalimpungatan daw siya kaya minolestiya ang bata tinanggi naman ng suspek na nakainom siya o lango sa iligal na droga tila balewala sa suspek kung siya ay makulong at inamin naman nito ang ginawang krimen samantala pinasusubaybayan na ang bata sa eksperto upang masiguro na magiging maayos pa rin ang kalagayan nito 
57,fake,a facebook post that the liberal party is linked to multi billion peso scams committed during the presidency of its chairman emeritus benigno aquino iii is misleading 
58,real,robredo dapat talaga ginagawa ang background checks di lang sa aspirants kundi pati mga gov t officials watch 
59,real,naipasok ni ginobili ang isang driving layup kasunod ang isang pointer sa fourth quarter matapos matapyas ng hornets ang abante ng spurs sa isa sa huling minuto ng laro in the past few games i ve had the opportunity to have the ball in my hands a lot of times ani ginobili sometimes it is not that easy against very athletic teams today i made a couple of shots and made better decisions so i am happy about it ang spurs ikapito sa western conference standings ay naglaro sa ikalawang sunod na araw sa kanilang road trip susubukin ng defending nba champions na tumulak sa standing sa kanilang paglalaro ng walo sa kanilang susunod na laban sa kanilang bakuran we had an opportunity to win some other games and we ve blown them sabi ni spurs coach gregg popovich tonight we came through so it feels pretty good si kemba walker ay gumawa ng puntos sa kanyang of shooting matapos mag average ng puntos sa winning streak ng hornets si bismack biyombo ay nagtapos na may puntos rebounds at blocked shots sa kanyang paghalili kay al jefferson nagbalik si lance stephenson mula sa kanyang game absence dahil sa pelvic sprain at nagtala ng puntos sa loob ng minuto bagamat tangan ang kalamangan sa malaking bahagi ng laro nahirapan ang spurs na dispatsahin ang hornets dumikit ang hornets sa sa huling na minuto matapos matapik ni jason maxiell ang nagmintis na free throw sa perimeter kung saan naipasok ni p j hairston ang isang pointer na nagpaingay sa crowd sinagot ito ni ginobili umatake sa kanang bahagi ng court at ipinasok ang isang high banking shot bago ang isang pointer sa sumunod na possession para sa puntos na bentahe matapos nito ay ipinasa niya ang bola kay tiago splitters para sa layup upang itulak ang kalamangan sa 
60,fake,the digital team of newspaper manila bulletin has presented misleading infographics on the results of its presidential preference survey using the social media platform twitter 
61,real,science fiction epic dune leads bafta nominations with nods 
62,real,leonen revealed a bar examinee finished the hour exam at this morning says this gives you a clue as to the type of exam that was returned by your bar chair via 
63,fake,a circulating satirical graphic claims former senator wants a recount of donations coursed through the office of vp some netizens are taking the post as fact we it here 
64,real,myhealth clinic in partnership with philippine daily inquirer invites you to its first ever webinar that will discuss the emerging health concerns during the new normal with professional tips about managing them learn more about weight gain obesity and abdominal related 
65,fake,epektibo na simula ngayong araw ang pagkalas ng pilipinas sa international criminal court o icc marso noong isang taon nang abisuhan ng gobyerno ng pilipinas ang united nations sa desisyon na kumalas na sa rome statute ang international treaty na lumikha sa icc magugunitang ipinag utos ni pangulong rodrigo duterte ang withdrawal mula sa tratado dahil sa imbestigasyon ng icc sa mga krimeng may kaugnayan sa war on drugs ng pamahalaan gayunman iginiit ng icc na tuloy pa rin ang kanilang imbestigasyon kahit umatras na ang pilipinas sa kasunduan 
66,fake,ayon kay vp leni robredo pinangasiwaan ng kaniyang campaign team ang mga campaign donation kabilang ang mga ipinadala sa kaniyang personal accounts 
67,real,isang kapitan ng barangay na tumatakbo sa pagkakongresista ang pinagbabaril at napatay ng riding in tandem sa quezon city ngayong araw dead on arrival sa feu hospital si crisell bheng beltran sanhi ng mga tama ng bala nasawi rin ang driver ni beltran na si melchor salita na dinala sa general malvar hospital sakay si beltran at tatlong iba pa ng puting ford everest ndo at binabagtas ang jp rizal brgy bagong silangan ng tabihan ng apat na lalaki na nakasakay ng dalawang motorsiklo alas ng umaga pinagbabaril ng mga suspek ang sasakyan ng biktima nasugatan din sa pangyayari ang apat pang katao inaalam pa ng pulisya ang motibo sa pamamaslang 
68,real,the army said wednesday it will immediately begin discharging soldiers who have refused to get the mandatory covid vaccine putting more than service members at risk of being thrown out soon 
69,fake,hindi totoo na si ferdinand marcos sr raw ang nagpagawa ng epifanio delos santos avenue o edsa 
70,real,base sa advisory ni labor secretary rosalinda baldoz kapag ang empleyado ay pumasok sa enero at na idineklarang mga special non working holiday ay bibigyan siya ng porsiyentong dagdag sa arawang sahod sa unang walong oras at karagdagang porsyento kada sumobrang oras o overtime kung ang empleyado ay pumasok sa araw ng kanyang day off babayaran siya ng porsiyento sa arawan niyang sahod sa unang walong oras at karagdagang porsiyento paglagpas ng walong oras kaugnay nito inabisuhan naman ng department of education deped na suspendido ang klase sa metro manila sa enero at 
71,real,eu s border free schengen area needs overhaul political leadership macron 
72,fake,the manipulated image of comedian first surfaced in february and was debunked by netizens it was revived this month as local support for vp s bid for the presidency became more visible read the story here 
73,fake,hindi itinuloy ang operasyon ng bnpp dahil sa public safety at quality concerns na nakita ng mga eksperto nagkaroon din ng isyu ng korupsiyon 
74,fake,ferdinand marcos didn t get a bar exam grade of neither was he the youngest elected mayor governor he was never voted into these positions find out in this story the other false claims recycled to prop up the late president 
75,fake,vp candidate claimed that certain symptoms tell whether one has the omicron or delta variant of covid other experts say only genome sequencing can ascertain what variant a person has see 
76,fake,former broadcaster incorrectly claimed that a daughter of vp skipped community quarantine after arriving from abroad and later testing positive for covid we it here 
77,fake,a facebook photo rehashed an already debunked claim that senate hopeful imee marcos graduated from up and falsely implied her school records were erased by former president cory aquino read 
78,fake,several facebook pages posted a graphic of vice president proposing to widen water pipes as a solution to water shortage problems this is to be fake robredo never made such statement read the full story here 
79,fake,a warning circulating on social media claiming that votes cast for senatorial candidate lito lapid could be counted in favor of mar roxas is wrong 
80,fake,hindi totoo na pangalawa ang pilipinas sa japan na pinakamayamang bansa sa asya noong panahon ni ferdinand marcos sr 
81,fake,a twitter post claiming senatorial candidate grace poe never considered emergency powers requested by president rodrigo duterte is false read more 
82,real,niyanig ng magnitude lindol ang ilocos sur kagabi ayon sa philippine institute of volcanology and seismology naramdaman ang lindol alas ng gabi ang epicenter nito ay isang kilometro sa kanluran ng bauguen at may lalim na kilometro naramdaman ang intensity iv sa santiago ilocos sur currimao at badoc ilocos norte intensity iii sa vigan city sinait magsingal san vicente cervantes san ildefonso burgos caoayan san esteban sigay san juan san emilio at nagbukel sa ilocos sur intensity ii naman sa baguio city at intensity i sa dagupan city 
83,real,patay ang limang anyos na batang babae matapos masagasaan ng isang van sa caloocan city huwebes ng gabi sinabi ng caloocan city police na naglalaro ang biktima sa tanigue st sa samatad compound nang imaneobra ng isang cesar garana ang isuzu closed van para iparada sa loob ng kanyang bahay ganap na alas ng gabi idinagdag ng pulisya na tinamaan ang biktima ng kaliwang bahagi ng sasakyan dahilan para bumagsak ang bata sa semento nagulungan pa ng hulihang kaliwang gulong ng van ang ulo ng bata dinala ang biktima sa caloocan city medical center ngunit binawian ito ng buhay makalipas ang ilang minuto nahaharap si garana sa kasong reckless imprudence resulting in homicide inquirer net 
84,real,these simple yet challenging meditation practices provide the opportunity for people to expand their nonjudgmental awareness of sensory experiences arising in each moment ani david black ang unang sumulat ng pag aaral mula sa university of southern california sa los angeles 
85,real,facebook s parent firm meta on wednesday delivered a gloomy mix of a sharper than expected drop in profit a decrease in users and threats to its ad business that plunged shares some percent in after hours trading 
86,real,inflation clocked in at in january slower than the rate recorded in december 
87,real,may kumpanya ang lalahok sa job affair sa pangunguna ng platinum sponsor at bpo company na concentrix higit sa mga posisyon sa mga industriya ng business process outsourcing bpo at knowledge process outsourcing kpo ang mga job hunter at maaari ring maghanap ng trabaho sa manufacturing marketing customer relations manpower at information technology it at iba pa 
88,fake,bongbong marcos did not ask for odette donation recount coursed through ovp 
89,fake,today the nation remembers the grim morning in when jose rizal was executed by firing squad for crimes involving rebellion what prompted his execution did his crimes warrant a death sentence here s a fact sheet 
90,fake,a blog carrying the name of the is enticing netizens to register in exchange for cash assistance to be coursed through this is fake read our here 
