,True Values,Content
18,fake,viral serye na kababayan natin na si sa sina liberal party senator bam vice president legal counsel attorney na airport na tila tao baka talaga kayo na po humusga certified yellow senator bam legal council airport parang semana santa grabe yellow candidate ni sa caption sa post post na ay umabot na sa mahigit na rin lagpas sa kababayan natin po sa kawawa man lang tao yellow ni r nakakahiya naman senador wala man lang ni n kawawa naman tong siguro na na talaga asa pa mananalo kayo never ni kung si yan gulo na gusto picture ni j wala man lang pumansin pa senator yan ni g wala man lang pumansin kay bam parang si lang tao siguro iba gusto n k g na yan ni v source
19,real,non tax total talaga ay tax one way boost pasiglahin talaga ekonomiya live
20,real,sinabi opisyal na si president ary brazil sa pagsasagawa upang tuluyan nang kaguluhan sa liderato asosasyon sa bansa nang attestation na kinikilala miyembro patuloy na bumuo asosasyon na balibol sa hereby confirm since also member volleyball confederation federation good standing affiliation world sinabi sa attestation federation legitimate exclusive authority leadership president secretary general govern volleyball beach volleyball ayon pa sa sulat tuluyan nang sa general assembly pagkilala sa na matagal nang miyembro sports governing body sa bansa sinabi ni secretary general na sa executive board meeting na kinakailangan uli na apply upang miyembro sa asosasyon desisyon executive board matapos na na magkahiwalay na grupo na sa pangalan na sa magkahiwalay na taon sa listahan exchange commission ay ikalawa ay ni na na kinikilala ay kaiba sa na na sina presidente secretary general ni na para kaguluhan upang kilalanin ay silang mag apply para sa membership apply go process getting recognition international federation pahayag ni pamunuan sa board meeting sa manila liderato matapos na magbitiw sa posisyon dating pangulo na si dungo si dungo sa kay presidente chairman ay si pedro si ay taon naman ni pumalit sa puwesto ni si presidente iba pang ay sina victor commissioner roger treasurer pante auditor chairman chairman paolo laurel pro
21,fake,base sa sagot sa freedom information request may pending pang na kaso sa
22,fake,post senate bet gratitude topping yahoo poll needs context poll informal open whoever answer scientific read
23,real,watch live pentagon briefing press secretary f
24,real,five presidential event win may first presidential forum
25,real,gabi gabi ay gising na gising sa mapangahas mabilis na daloy kuwento nito na sa buhay magkapatid na sina paulo na sa malagim na trahedya ugnay pagkabighani sa na club dancer na si lang magkapatid sa alindog ni kundi katunayan pagkahumaling manonood sa love resulta survey media na humataw sa national nang mag pilot lunes serye nina paulo sa national na lunes second na katapat nito sa na lang ayon sa kakilala naming sa star production unit na sa love triangle sa love pagtingin nina kay daw pagmamahal nang relasyon magkapatid
26,fake,dati nang ni may na patuloy recycle troll
27,fake,time stop tila na si senador sa dulot supplier vote counting na sa daan na nasira sa araw sa ay si dating vice president binay umabot din daw sa sa araw halalan sa text message ni senador koko posibilidad na magpatawag senate investigation sa aberya sa boto sa transparency server enough call congressional investigation still commission anticipate ni koko naman edad problema sa taon ayon sa ulat politiko pa daw p billion sa para bilhin na source news politiko
28,fake,sa galit pro government na si maharlika sa pahayag ni national police chief sa panayam sa radyo ni maharlika tila ni sa ni kay taon ay si sa kamay pulis na nasa pamumuno ni police director ted si ay aide bodyguard ni si naman ay sa dayaan umano ayon kay maharlika tila takot daw si kay baka may si na baho ni ilang ulit ni ilang kay ukol sa surveillance umano sa kay ay pa kay sa ni na magbigay dokumento na kaso kampo ni sa ombudsman panoorin panayam kay gen lumaktaw sa ika minuto para agad bahagi panayam kay chief kayo na po humusga sa pahayag ni gen basahin reaksyon kababayan natin sa sinabi ni maharlika kay make petition na silang sa pulis sa iyan ni kumag na fraternity classmate friend pulis na mamamatay tao well way talk handle think punishment red sir happen dukutin patayin saka kunwari tadtarin bala pulis na parang na sooner later civil war criminal police kung pa rin hustisya si red ni sir mo na related si attorney si kung may utak ka ba naman si ay na kapatid na si attorney kasi nga bodyguard namatay si nag serbisyo sa tapat kay attorney kung mo ba naman ni attorney kung may bayag ka communicate ka kay attorney kung mo si kasi nga may kayo kayo mag salita nag days na wala pa na dokumento na hinihingi ni attorney kang chief may kayo kung ninyo aba ay gumising ka na ipakita mo na may bayag ka puro daldal na talaga kayo kayo ay may kayo talaga linisin mo na katarantaduhan na po sa mamayan ay na masaya ni panoorin panayam kay gen lumaktaw po sa ika minuto para agad bahagi interview kay chief source maharlika
29,real,q solve rural tertiary hospital per region province need go manila barangay health least nurse basic equipment via
30,fake,labor force survey million unemployed contrary senate hopeful claim read
31,real,three house impeach former president trump early announce seeking seven appear running strong
32,fake,totoo na pangulo si
33,real,engaging might interest see entertainment page issue available inquirer plus get
34,fake,calling mandate duplication vice president agency mandate read story
35,fake,larawan sa social media sa pag endorso corporation kay
36,real,team tried hard convince me cancel pinilit ko pa rin hanapan fulfill naghihintay para tulong na pabahay bago campaign period
37,real,reclamation typically go shallow para sa akin mahalaga talaga mekanismo na people na day nang platform para boses via
38,real,said preparation forum worked well campaign funds via live
39,real,officially streamlined safe splendid president xi said head decried boycott ugly human
40,real,magnitude lindol eastern umaga ayon sa institute volcanology seismology lindol alas umaga epicenter nito ay kilometro sa silangan hernani may lalim na anim na kilometro sa intensity na paggalaw sa hernani intensity naman sa city palo general sa eastern city
41,real,said elaborate executive order full disclosure sign president via live
42,fake,ni mayor na si si sa
43,fake,senate bet china posted double digit growth every year extricated million poverty within wrong read
44,real,wala pang batas puwede executive order para nang ganoon na demand via
45,fake,senatorial candidate wrongly country economy dependent gold
46,fake,quote card fake local news platform global daily mirror whose contact seen post graphic read fact check
47,fake,si ginto sa mahigit na bansa para central
48,fake,totoo pahayag post na pa lang si ay nakahanda na relief goods ni
49,real,building big spectator sports today
50,real,year singer came represent country music race problem sold tour radio hit summer
51,fake,ayon sa office vice president shelter classroom sa rin daw testing medical
52,fake,fake quote card made look like pope expressed support bid presidency find media organization quote card make hoax fact check
53,fake,totoo pahayag ni jay sa page na ligtas timbang angat buhay project office vice president
54,fake,batikos host na si sa social media post nito araw ayon kasi sa twitter post ni daw ni tweet si president xi sa bansa sa ni president xi lumagda na kasunduan china naman ilang ni po sa reaksyon source twitter
55,real,center debate nation spiked nationally
56,fake,sa rape na lalaki na matapos na sa na kapitbahay nito sa city ayon kay police col yang kapatid na babae na lumabas bata sa common gusali sa na nang bata bata na lalaki sa kaniya ari nito naman ama bata para hulihin na pinggan sa karinderya daw bata naman na lango sa na tila sa kung ay makulong naman nito krimen samantala na bata sa eksperto upang masiguro na magiging maayos pa rin kalagayan nito
57,fake,post liberal party linked billion peso presidency chairman emeritus misleading
58,real,talaga background di lang sa kundi pati watch
59,real,ni driving kasunod pointer sa fourth quarter matapos matapyas abante sa sa minuto laro past opportunity ball lot times ani sometimes easy athletic today made couple made better happy ikapito sa western conference ay sa sunod na araw sa road trip na tumulak sa standing sa paglalaro walo sa na sa bakuran opportunity win blown ni coach tonight came pretty good si walker ay puntos sa shooting matapos mag average puntos sa winning streak si ay nagtapos na may puntos blocked sa paghalili kay al si lance sa game absence sa pelvic sprain puntos sa loob minuto tangan kalamangan sa bahagi laro na dispatsahin dumikit sa sa na minuto matapos ni na free throw sa perimeter kung ni p j pointer na sa crowd ni umatake sa bahagi court high banking shot bago pointer sa sumunod na possession para sa puntos na bentahe matapos nito ay bola kay para sa upang itulak kalamangan sa
60,fake,digital team newspaper manila bulletin misleading presidential preference survey social media platform twitter
61,real,science fiction epic dune bafta
62,real,revealed bar examinee finished hour exam morning clue type exam returned bar chair via
63,fake,satirical graphic former senator recount coursed office taking post fact
64,real,clinic partnership daily inquirer first ever discuss health new normal professional learn weight gain obesity abdominal related
65,fake,na simula araw sa international criminal court taon nang abisuhan gobyerno united sa desisyon na kumalas na sa statute international treaty na lumikha sa utos ni withdrawal sa sa imbestigasyon sa may kaugnayan sa war pamahalaan na pa rin imbestigasyon umatras na sa kasunduan
66,fake,ayon kay campaign team campaign donation kabilang sa personal
67,real,kapitan barangay na tumatakbo sa napatay riding tandem sa city araw dead arrival sa feu hospital si sanhi tama bala nasawi rin driver ni na si salita na sa general hospital sakay si iba pa ford silangan tabihan na lalaki na nakasakay motorsiklo alas umaga sasakyan biktima nasugatan din sa pangyayari pang katao pa pulisya motibo sa pamamaslang
68,real,army said immediately begin discharging get mandatory covid vaccine service risk thrown soon
69,fake,totoo na si raw avenue
70,real,base sa advisory ni labor secretary ay pumasok sa na special non working holiday ay dagdag sa sahod sa oras porsyento oras overtime kung ay pumasok sa araw day babayaran porsiyento sa arawan sahod sa oras porsiyento oras kaugnay nito naman department education na suspendido klase sa metro manila sa
71,real,eu border free area needs overhaul political leadership macron
72,fake,image comedian first surfaced month local support bid presidency visible read story
73,fake,operasyon sa public safety quality na eksperto din isyu
74,fake,get bar exam grade neither mayor governor never find story false prop late president
75,fake,candidate certain tell whether one omicron delta variant covid say genome ascertain variant person see
76,fake,former broadcaster incorrectly daughter community quarantine abroad later testing positive covid
77,fake,photo already claim senate hopeful graduated falsely school erased former president read
78,fake,several posted graphic vice president widen water solution water shortage fake never made statement read full story
79,fake,warning social media cast senatorial candidate lito could favor mar wrong
80,fake,totoo na sa japan na bansa sa ni
81,fake,twitter post senatorial candidate grace poe never considered emergency president false read
82,real,magnitude lindol sur kagabi ayon sa institute volcanology seismology lindol alas gabi epicenter nito ay kilometro sa kanluran may lalim na kilometro intensity sa sur norte intensity sa city san san san sigay san san sa sur intensity naman sa city intensity sa city
83,real,patay limang na babae matapos masagasaan van sa city gabi sinabi city police na biktima sa st sa compound nang closed van para iparada sa loob bahay ganap na alas gabi pulisya na biktima bahagi sasakyan dahilan para bumagsak bata sa semento pa gulong van ulo bata biktima sa city medical center buhay ilang minuto si sa reckless imprudence resulting homicide inquirer net
84,real,simple yet meditation provide opportunity people expand awareness sensory moment ani black sumulat pag sa university southern sa
85,real,parent firm meta gloomy mix sharper drop profit decrease ad business percent trading
86,real,inflation clocked rate
87,real,may sa job affair sa pangunguna platinum sponsor company na higit sa posisyon sa industriya business process knowledge process job ring maghanap trabaho sa marketing customer information technology iba pa
88,fake,ask donation recount coursed
89,fake,today nation grim morning executed firing squad rebellion execution warrant death sentence fact sheet
90,fake,carrying name enticing register exchange cash assistance coursed fake read
91,fake,ilang larawan na pagkakaiba manila bay noon sa larawan gilid manila bay na puno basura kung dumi sumunod na larawan naman ay malinis manila bay matapos araw rehabilitation linggo umabot sa katao para sa kick program manila bay rehabilitation programa ay cabinet na konektado sa proyekto nina department environment natural secretary defense secretary tourism secretary puyat iba pa pagsasaayos sa manila bay ay sa hakbang pamahalaan para kalikasan ayon sa ilang ulat mataas na rin daw coliform level sa lugar ay uri bacteria na sa dumi tao hayop taon ay government isla para sa rehabilitasyon matapos anim na buwan nang isara ay sa turista ay na dayuhan sa panoorin pang ulat sa rehabilitasyon sa manila bay source
92,fake,three supreme court three last prove thievery family opposed false claim post post
93,real,throughout galaxy planet luntian known unparalleled beauty find beautiful planet luntian read full story exclusively available inquirer plus
94,fake,graphic falsely vice president spent half billion campaign election false read report know
95,real,q continue build build build program continue whatever already regard build build build create ire revive natin type na natin next
96,fake,photo return p b allegedly received cash interior secretary election day claim misleading read
97,real,welcome respite return person classes
98,real,q favor franchise sabong pag usapan nang maayos sa kongreso pakinggan kung ako mo ako agree sa anything na cause addiction sa lalo na sa kabataan
99,real,parent firm meta lost billion stock value comparable size new economy raised social media giant future
100,fake,sa video na leona na pagkain sa basura ayon sa pagkain ay tira empleyo na sa basura ay nang pagkain sa loob anim na araw na nag udyok sa na upang kagutuman sa pagkain pagkain sa basura bin sinabi ni sa post na nararapat na uri paggamot lalo na babae sa video na na napakahusay na tao ni babae katulong na sa sa al baha province numero ay din ni tulong gobyerno para sa pagsagip ni sa katunayan nararapat sa uri paggamot ay taong sa daigdig kalagayan sa buhay ay sanhi uri paggamot sa palad sa katulong sa tahanan ay labis na na ay nagtapos sa malamig na kabaong ay bumalik sa pamilya sa source
101,real,congested drug related dangerous law delineation drug via
102,fake,hinihingi bayanihan e konsulta voter information detalye botante precinct number numero presinto
103,real,fourth vaccine risk following several
104,fake,ni sen manny extrajudicial sa resolution kasama anim pang senador
105,real,reconcile labor first policy program urge vote de encourage heed call via watch
106,fake,totoo na ni sen moro secession komunista upang guluhin gobyerno ni
107,real,breaking president joe said u raid leader isis returned safely operation deliver people later morning may god protect
108,fake,remark allegedly made former senator already read
109,real,marikina vaccinate aged mayor
110,real,seed rubber match burahin twice beat advantage second seed lady sa panalo sa second game stepladder taliwas sa tunggalian para sa kung napabayaan kalamangan maingat na sa pagkakataon na panimula upang error para makapasok sa huli silang
111,fake,official news saying vice president spent p million campaign election running president
112,fake,yet appoint replacement commissioner following term expiration also fantasy dream whoever behind
113,fake,nagpapatunay na nag invest ginto dating sa bansa
114,fake,quote card showing fictional princess allegedly praising presidential aspirant fake
115,fake,nag viral sa social media school na sa nag sa paaralan sa lungsod na si kahandaan lokal na pamahalaan sa pamamahagi school sa estudyante kasi na sa magulang pasukan ay school na anak sa larawan na na sa upuan classroom school na mag sa school ay may kasama rin school uniform sapatos paghanga sa gawain lokal na pamahalaan para sa mag
116,fake,proyekto dekada pamamahagi sa paaralan totoo din na misleading pahayag na kung sa via
117,fake,cabal behind oust plot ganito matapang na pahayag ni labor undersecretary jing sa video series na list kung alyas kaanak ni pa sa kalakaran bawal na gamot ayon kay video ay parte sa administration si vice president daw kung pagpapabagsak sa gobyerno pa sa ni ay maingay na kritiko ni na si senador behind cabal behind oust plot people join protect presidency ni para kay na si ay maliit na parte daw sa laro si ay kawani national bureau investigation kamakailan lang umamin si na web developer administrator net sa ayon kay daw nag video sa kundi kaibigan liberal party supporter na si maru pumayag si na kumanta ituro sangkot sa video rin kay ilang media sa paulit ulit na pagbabalita paninira ni sa fake news repeated exposure several media part demolition job president buwelta ni sa ilang media oust matrix kung ilang media konektado umano sa pagpapakalat video sa source tribune
118,fake,senatorial candidate falsely cut poverty half province representative house read
119,real,us special leader group state raid northwest us president joe said
120,real,ko nawala culture baba taas nawala corruption din apply scale lang natin national government internal cleansing via watch
121,fake,sa talumpati ni sri president sa state banquet sa palace sinabi nito na hinahangaan kung ni isyu para kay daw tularan hakbang presidente para labanan war crime carried example whole world personally me drug menace rampant country feel follow control hazard ni sri president sa panayam kay sa ilang miyembro media matapos sa presidente sri sinabi nito na na kasangga sri sa paglaban sa human smuggling drug proliferation illegal threat fabric growing naman ni po ilang reaksyon sa kababayan source
122,fake,reaksyon sa video bata na umano sa paaralan na bata ay nasa kung iba pang guro viral video ay huli ka balbon sa may caption na ko po na mag aral kung na umano umano bata ilang segundo na sa video umalis lalake parang pa pisngi babae naman ay din na pisngi sumilip pa sa corner building sa video na na nag viral sa social media reaksyon sa ay na kasing ibalik anime sa hapon iba naman ay sa big brother may din na na parang nasa pa lang bata umano sa sa telebisyon basahin reaksyon ukol sa viral video nasa palang ata yan old tapos ako na wala paring sa bata kasing gulang ko lang noon malay ko sa na iyan ko maglaro gayahin super gaya iba pang anime noon kulang na lang maghubo na sa harap camera putik na na iyan kasi yan nang sa bata sa hayop kasi monitor din bata sa sa kasi nakikita nasa magulang disiplina sa bata anak ko diko nang love story puro kasi dati mahilig pa ako sa love story bigla ko anak ko na old na sa kalaro lalaki lalaki pati ako pag bigla nang anak ko gumaya sa sa simula nang ko na nang na nang kabastusan
123,fake,wala sa bersyon batas na senate bill pangalan ni may akda
124,real,dawn
125,fake,handa na ba kayo sa pagbubukas klase kababayan sulitin na araw bakasyon sa darating na pasukan na sa paaralan elementarya ayon sa department education na global ayon kay education secretary batay sa memorandum school year ay araw magtatapos sa dagdag pa ni naman adjust kalendaryo na school year may pang nasyonal na ipagdiwang idaos para na rin sa kapakanan estudyante samantala sa pagkakataon umano di kalamidad suspensyon klase make classes para sa mag schedule naman break public elementary high school sinabi rin ni na pagpapatupad aktibidad ay nararapat pagkasunduan pinuno paaralan guro magulang mag bahagi rin umano gabay sa darating na pasukan paghimok sa na magsagawa non classroom based gaya science fair trade fair job fair career orientation pagpapakita portfolio school sports campus journalism ay kaugnay pa rin layunin k para sa estudyante nauna nang utos ni pagbuo balik eskwela obe inter agency task force na magiging responsable sa maayos pagbubukas klase obe part department ensure properly enrolled able attend school first day classes obe address commonly public start classes saad ni sa kabilang dako schedule pasukan school year ay sundin paaralan basta batas na na pagbubukas klase ay nararapat simulan nang mas maaga sa lunes rin sa araw source
126,fake,si sa presidential interview conflict daw sa schedule sa petsa interview
127,real,u new russia plotting false flag attack
128,real,lee would weave never seen footage archive provide full first person account journey
129,fake,video used truncated clip paint vice president presidential aspirant unable answer question forum
130,fake,video na milyon halaga nawala sa sa pagdalo ni sa interview ni soho
131,real,man ground via
132,real,na pangulo sana ay maipagpatuloy malasakit senator bong go said
133,real,museum based taken storm united
134,fake,na umabot buhay sa ospital si matapos drug enforcement agency umano baril sa pulis bala sa dibdib si na agad bumawi sa buhay nito insidente sa nito lang lunes gabi base sa pahayag ni director plaza si umano big time na supplier party sa metro manila sa sasakyan na may p ilang sa parokyano ay mag modelo background si sa big time supplier party sa metro manila however parang timbre na sinusundan na stocks na sa lugar pahayag ni special enforcement service acting director ayon kay sa kliyente ay artista sa parokyano tayong talaga natin based text extracted artista dagdag pa ni panoorin ulat news source allan
135,real,keeping patient hand monetary inflation
136,real,seventh seeded na si na sa sa grand slam taon ay naman sa siyam sa kay sa pito sa sumunod na siyam upang mapuwersa set sa pagkakataon sa torneo matapos mag serve double fault sa set point sa second set sandaling si bago upang na panalo sa ranked na si na seeded na si angelique sa first round gave good long hard look mirror paliwanag ni sa pagkawala sa rod laver arena said genie unacceptable really kind butt little bit five time grand slam winner na si ay may career record kay kabilang comeback semifinal win sa open taon natalo si sa fourth round sa park taon kung umabot si sa tournament debut feel like something someone gave me another chance ani last year lost fourth round getting quarters really special sinabi ni na si consistent na manlalaro sa grand mag doble kayod sa na really well confident tennis aggressive saad ni tough match ahead me always look forward
137,fake,photo allegedly recently actually taken may miting de vice presidential candidate read
138,fake,viral quote card vice president saying full faced wear face fake said thing read fact check
139,fake,contrary post power former read
140,real,fate real estate market outcome may
141,real,palakasin natin community based na programa sa kalusugan via live
142,real,national police police key police force due retirement senior police
143,real,insidious definitely still go
144,real,watch live house speaker weekly press conference
145,fake,former rep taking commissioner post neither director sacked
146,real,leader state group u raid overnight northwest largely mystery almost known never public group
147,real,infrastructure drive na natin basta wala problema via
148,real,kasabay nito ni senate finance committee chairman senator na senado bersyon sa pondo na aniya taglay pork barrel taliwas sa akusasyon ni sen defensor
149,fake,president gave led water distribution contract false repeated speech false assertion pay tax read
150,real,sobra kung mag alala balisa sa katiting bagay lalo na wala tayong kontrol na natin sa alalahanin ilang saglit lang ay nag na ganoon din naman ako dati ko na pag ay anyo paghamon sa ko lalo sa isipan na pag lakas pag nga sa kanta sa akin mo problema mo magtiwala kang di ka kasama mo ako sa hirap ginhawa magtiwala kang di ka meaning mo na sa problema wala ka na na may tiwala sa na tungkulin na higit pa sa pagtitiwala natin sa driver na sa abot pamasahe sa na na natin natin natin problema solusyon tiyak na mas malaki haharapin
151,real,de stop taking arms people via watch
152,real,following reveal ken robin left protest per
153,fake,ayon sa norte electric nasa p vat included rate nasa p vat included naman singil sa buwan taon
154,fake,huli ka alagad simbahan sa buy bust operation sa base sa impormasyon p halaga sa pa pari na impormasyon reporter patungkol sa insidente dagok sa hanay alagad kung buy bust sa pari taon ay ilang alagad simbahan sa iskandalo may paring na menor de edad naman ay sa sa babae basahin reaksyon kababayan natin patungkol sa paring pusher sekta kapa anuman religion mo talaga laganap na demonyo sa mundo man pang position mo sa buhay demonyo pala katauhan ni l eh lolo ba mag ingay ka kaso mo banal ni r bishop na puro kontra sa war administrasyon alagad pari timbog sa buy bust operation mag salita kayo bishop ni j oh di rapist pari lak na rin iba na hawak pari sa na na ni l ayon sa pahayag pulisya pari ay si pari ay miyembro catholic church source
155,fake,new expressed support former senator file case
156,fake,sa orihinal na video si sa ni martial law sa
157,real,de answer illegal treat health problem via live
158,real,sinabi rin ni senior director la union police provincial office na rin asawa ni na si joy sa pot session huli
159,real,tertiary around country increasing salary via live
160,fake,falsely e konsulta information precinct
161,real,milyon halaga kickback na tinanggap presidente sa land deal boy sa real estate firm
162,fake,ayon sa department public works skyway sa
163,real,newspaper definition word decorous add vocabulary subscribe daily inquirer visit
164,fake,additional context claim presidential bet motorcycle taxi government tried regulate
165,real,important see like kasi first time na kalaban platform point sagot nag prepare live
166,fake,get bar exam grade neither mayor governor never find story rest false prop late president
167,real,wi fi fault mine via
168,fake,sa social media larawan sundalo na mukha ni tunay larawan ni siege sa official sa pahayagan
169,real,munisipyo na maglagay display taon sa bigyan pag asa bayong sa na ilayo sa taga kasiyahan sa malakas na bagyo inspirasyon taong pag asa sa kabila sakuna white display taon na sa iba pagkaalis ruby din display na sadya nang bago pa man magkaroon bagyo palapag munisipyo ay may toka gastos sa display na pride premyo pagdating hapon sa harap munisipyo kung display picture na kung display kuwento ni mayor ona
170,real,special terorista matapos ideklara opisyal na kontrolado na al hotel mahigit oras matapos na salakayin miyembro grupo al hotel
171,fake,na preno mamamahayag na si sa kay sa radio program mamamahayag administration sinabi nito na diktador na kung diktador pangulo may naman patutunguhan bansa papunta na sa basurahan pupunta sa basurahan kita ninyo ilang pangulo simula kay kay paglilinis sa mania bay napakasimple kung iyan lang pangulo sa department environment natural na linisin iyan dumating na e di manila bay compound ni ayon kay din daw sa adhikain daw baluktutin iilan people power sa sa martial law ho ako sa adhikain ho natin baluktutin diwa kayo ngawngaw ngawngaw ako ko cover noon itigil han ninyo diktador mama na buksan paningin ninyo kasi gawin mama kung sarado utak ninyo ay banat pa ni basahin reaksyon ilang kababayan natin sa banat ni nag na kapayapaan sa buhay yan na utang na tatay mahal na mahal ka taga ni r pag si si talaga magkasanib iwan ko kung di pa umiri tumbong dilawan sa kaka people dictatorship ni j mas talaga si president bobo mangmang lang nang sa mamatay na kayo taong sa dami sa bansa gaya ninyo puro puro welga kayo maglinis sa ilog sapa pati sa quiapo bridge mag walis sa harapan bahay ninyo gago wala naman sa bansa pasahurin lang bansa palamunin lang naman pamilya salita sa pangulo may kaba sa bansa bago kayo mag mura mag batikos sa pangulo ninyo kung maganda sa may mali man sa mata ninyo million trillion na tao sa note lang sa dilaw nag nag daw eh naman thank ni source via
172,fake,page don me falsely senatorial candidate mar suffer metro manila water crisis since still alive anyway
173,fake,bumaba presidente liberal party si sen matapos kinalabasan sa resignation letter na kay vice president sinabi ni na pag ako otso sa senatorial race na may pananagutan campaign manager oposisyon campaign manager otso slate unable ensure victory assume full responsibility outcome hold primarily accountable defeat resignation president effective june ani batay sa na commission tiyak na pasok na sa senado na ka partido ni na sina bong go rosa koko lusot din anim na administrasyon na sina pia sonny lito villar bong na sina grace poe nancy binay na parte majority block mataas na kapulungan senador na sa pagpasok th congress sa minority block si kasama sina sen franklin sen de sen
174,fake,opisyal na pahayag si na nasa na fake quote card
175,fake,video post misleadingly regime labor code
176,fake,ni sa new year message
177,real,may na baka mag reclaim base sa siyensiya sa datos ba talaga ba sa environment sa lugar naman puwede via
178,real,mandatory military service de approve proposal ako sang ayon sa giyera war via watch
179,real,subscribe know food fun edge inquirer news initiative partner inquirer plus
180,fake,pro page posted photo raising estrada taken sentinel also taken northbound read
181,fake,viral video deliberately show wrong radio show
182,real,watch live president military operation
183,fake,hapon dumalo si sa radio guesting sa
184,fake,data last year energy situation available verify ponce claim fuel energy needs preceding reach read
185,real,ni trainee humarap sa local media sina eve kasama kinatawan upang isulong one billion rising campaign na sa pagwawakas karahasan sa kababaihan
186,real,foreign minister barred meet
187,fake,network lost almost p million potential ad revenue soho interview
188,fake,daily guardian spreading news withdrawal support gubernatorial candidate read
189,real,think forum penalize presidential do show like empty chair live
190,real,koponan sa iba subdibisyon sa salawag sa liga na na sa basketball pag korona torneo na ni commissioner especially involved sports physical healthy condition away kind sickness sinabi ni chief jay torneo sa pakikipagtulungan ni salawag barangay chairman eric sa kung ay laro sa iba subdibisyon upang mahimok iba pang kababaihan na sa sports naman natin na ay lagi na sa bahay na pisikal na kondisyon kung encourage natin aktibidad para natin na kalusugan giit ni
191,real,na hapon ipa bang may pulubi sa lumapit sa vendor pabulong na po sana kape mangkok vendor lugaw na may itlog tokwa bawang paminta sa pulubi kasabay kutsara sa akin lalaki tumango vendor sa bangko na malayo sa iba pang vendor sa pulubi kasunod na kape mo ako sa sa abala ko sa akin naman ko na ay pag ni pinili makaulayaw maralita inaapi na maralita laboy ministeryo sa pagmamalasakit sa wala ay ni na ibigin gaya pagmamahal natin sa kung sa isipan damdamin wala maralita sa paligid natin sa abot na mamuhay nang marangal nakakapit sa tuwina
192,real,nito pop na film actor na si na na pop classical singer sa paco park sa nasa isip ni paghahalo classical music sa pop music environment sa pagbuo grupo soloist na upang lumikha musika pop classical
